,,,Key Sizes (in bytes),,,Estimated,,,,,,,,
Algorithm Type,Name,Parameter,Private Key,Public Key,Signature Size,Verification Performance (Cycles),Perf vs ML-DSA,Weekly Bandwidth (TB),Google KMS Support,HSM Support,Standardized,Implementation,Security Category (NIST),Notes
Lattice-Based,ML-DSA (Dilithium),ML-DSA-44,2560,1312,2420,76110,1,61.16,No,Yes,Yes,https://github.com/pq-crystals/dilithium,2,
,,ML-DSA-65,4032,1952,3309,127965,1,83.70,Yes,Yes,Yes,,3,This one seems promising as it is standardized and supported by Google KMS
,,ML-DSA-87,4896,2592,4627,206349,1,116.97,No,Yes,Yes,,5,
,,,,,,,,,,,,,,
,FALCON,FALCON-512,1281,897,666,110572,1.452792012,17.10,No,No,Yes,https://github.com/algorand/falcon,1,
,,FALCON-1024,2305,1793,1280,210549,1.020353867,32.90,No,No,Yes,,5,
,,,,,,,,,,,,,,
,HAWK,HAWK-512,184,1024,555,148224,1.947497044,14.39,No,No,No,https://github.com/hawk-sign/dev/,1,"Similar to Falcon, but doesn't require floating point arithmetic, signing time is a lot shorter"
,,HAWK-1024,360,2440,1221,302861,1.467712468,31.75,No,No,No,,5,
,,,,,,,,,,,,,,
Hash-Based,SPHINCS+,SLH-DSA-SHA2-128s,64,32,7856,645204,8.477256602,196.42,Yes,Yes,Yes,https://github.com/sphincs/sphincsplus,1,
,,SLH-DSA-SHA2-192s,96,48,16224,1739357,13.59244325,405.62,No,Yes,Yes,,3,
,,SLH-DSA-SHA2-256s,128,64,29792,2448864,11.86758356,744.83,No,Yes,Yes,,5,
,,,,,,,,,,,,,,
,XMSS,XMSS-SHA2_10_256,1373,64,2500,,,62.53,No,No,Yes,,5,It's better to not use since it is a stateful hashing-based algorithm (meaning we need to track number of signatures which increases complexity)
,,,,,,,,,,,,,,
,LMS,LMS_SHA256_H5_W1,64,60,8688,,,217.23,No,No,Yes,,5,It's better to not use since it is a stateful hashing-based algorithm (meaning we need to track number of signatures which increases complexity)
,,,,,,,,,,,,,,
Code-Based,CROSS,cross-rsdp-128-balanced,32,77,13152,1371456,18.01939298,328.84,No,No,No,https://github.com/CROSS-signature/CROSS-implementation,1,
,,cross-rsdp-192-balanced,48,115,29853,2944048,23.00666589,746.38,No,No,No,,3,
,,cross-rsdp-256-balanced,64,153,53527,5072854,24.58385551,1338.25,No,No,No,,5,
,,,,,,,,,,,,,,
Isogeny-based,SQISign,SQISign-1,353,65,148,5100000,67.00827749,3.73,No,No,No,,1,
,,SQISign-3,529,97,224,18600000,145.3522448,5.65,No,No,No,,3,
,,SQISign-5,701,129,292,35700000,173.0078653,7.36,No,No,No,,5,
,,,,,,,,,,,,,,
Multivariate,MAYO,MAYO-1,24,1420,454,188689,2.47916174,12.06,No,No,No,https://github.com/PQCMayo/MAYO-C,1,"MAYO seems interesting with the small signature size, but Public key size is very large"
,,MAYO-3,32,2986,681,434379,3.394514125,18.52,No,No,No,,3,
,,MAYO-5,40,5554,964,935674,4.534424688,26.88,No,No,No,,5,
,,,,,,,,,,,,,,
Non PQ DSA,RSA,RSA-2048,256,256,256,,0.8,6.53,,,,,,
,,RSA-3072,384,384,384,,0.8,9.79,,,,,,
,,RSA-4096,512,512,512,,0.8,13.06,,,,,,
,,,,,,,,,,,,,,
,ECDSA,ECDA P-256,32,64,64,,0.5,1.63,,,,,,
,,ECDA P-384,48,96,96,,0.5,2.45,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
